movie_pic,score,movie_name,score_num,ranking
,9.6,肖申克的救赎,923284,1
,9.5,霸王别姬,666467,2
,9.4,这个杀手不太冷,876294,3
,9.4,阿甘正传,745267,4
,9.5,美丽人生,435255,5
,9.2,千与千寻,695395,6
,9.4,辛德勒的名单,399791,7
,9.2,泰坦尼克号,685394,8
,9.3,盗梦空间,794040,9
,9.3,机器人总动员,519335,10
,9.2,海上钢琴师,620441,11
,9.1,三傻大闹宝莱坞,703694,12
,9.2,忠犬八公的故事,479181,13
,9.2,放牛班的春天,472872,14
,9.2,大话西游之大圣娶亲,511450,15
,9.2,教父,358086,16
,9.1,龙猫,436249,17
,9.1,楚门的世界,479818,18
,9.2,乱世佳人,280821,19
,9.2,熔炉,278014,20
,9.1,天堂电影院,319939,21
,9.1,触不可及,381796,22
,8.9,当幸福来敲门,561049,23
,9.0,无间道,418196,24
,9.1,星际穿越,507734,25
,9.4,十二怒汉,178651,26
,9.0,搏击俱乐部,415580,27
,8.9,怦然心动,574553,28
,9.1,指环王3：王者无敌,294621,29
,9.0,少年派的奇幻漂流,598860,30
,9.2,鬼子来了,239471,31
,9.0,天空之城,345223,32
,9.0,蝙蝠侠：黑暗骑士,336364,33
,9.1,活着,279994,34
,8.9,罗马假日,398669,35
,8.9,大话西游之月光宝盒,412898,36
,8.9,飞屋环游记,514636,37
,9.1,两杆大烟枪,281465,38
,9.1,窃听风暴,231318,39
,9.0,飞越疯人院,285571,40
,9.3,海豚湾,186235,41
,8.9,闻香识女人,332466,42
,9.6,控方证人,95423,43
,8.8,V字仇杀队,430429,44
,8.9,哈尔的移动城堡,361364,45
,9.1,教父2,192752,46
,8.9,美丽心灵,313186,47
,8.9,死亡诗社,287004,48
,8.9,指环王2：双塔奇兵,277746,49
,8.9,指环王1：魔戒再现,310605,50
,9.1,辩护人,212914,51
,8.8,情书,385902,52
,9.2,疯狂动物城,516365,53
,9.1,饮食男女,204963,54
,9.1,美国往事,179856,55
,8.7,天使爱美丽,492824,56
,9.0,钢琴家,207554,57
,8.9,狮子王,288410,58
,8.7,七宗罪,444695,59
,8.9,被嫌弃的松子的一生,293087,60
,8.8,致命魔术,351996,61
,9.2,小鞋子,140652,62
,8.8,勇敢的心,300419,63
,9.1,素媛,185723,64
,8.7,剪刀手爱德华,493475,65
,8.9,音乐之声,236293,66
,8.8,低俗小说,341651,67
,8.7,本杰明·巴顿奇事,401243,68
,8.8,黑客帝国,286622,69
,8.7,沉默的羔羊,359809,70
,8.8,入殓师,323466,71
,8.9,拯救大兵瑞恩,242489,72
,8.7,西西里的美丽传说,355649,73
,8.7,蝴蝶效应,388212,74
,8.9,玛丽和马克思,234998,75
,8.7,让子弹飞,632255,76
,8.8,春光乍泄,250609,77
,8.7,心灵捕手,275166,78
,9.2,大闹天宫,100693,79
,8.8,幽灵公主,238118,80
,8.7,阳光灿烂的日子,274273,81
,8.8,第六感,238227,82
,8.7,重庆森林,335040,83
,8.7,大鱼,255843,84
,8.7,射雕英雄传之东成西就,279502,85
,8.6,禁闭岛,364228,86
,8.8,甜蜜蜜,235351,87
